Ring Name,Real Name,Notes
Taz,Peter Senerchia,Commentator for DynamitePay-per-view commentator[203]
Tony Schiavone[204],Noah Anthony Schiavone,Play-by-play commentator for CollisionCommentator for Dynamite and RampagePay-per-view commentatorCo-host of AEW UnrestrictedSenior producerSpecial advisor[205]
,,
Arn Anderson,Martin Lunde,[206][207]
Chris Hero,Chris Spradlin,[208]
Dean Malenko,Dean Simon,Senior producer[209]
Jerry Lynn,Jeremy Lynn,[210]
Jimmy Jacobs[211],Christopher Scoville,[212]
Kevin Matthews,Kevin McDonald,[213]
Sarah Stock,Sarah Stock,[214]
Scotty 2 Hotty,Scott Garland,[215]
Tony Chimel,Tony Chimel,[216]
,,
Chris Harrington[217],Business Strategy,
Michael Mansury,Senior VPCo-Executive Producer[218],
Nik Sobic,Business Operations[219],
Pat Buck(Patrick Buckridge),Talent DevelopmentProducer[220],
Shane Emerson,Global Programming and Partnerships[221][222],
,,
Adam Hopkins[223],Public Relations[224],
Amanda Huber,Community Outreach[225],
Chad Glenn,Chief Financial Officer[226],
Jake Manning,Merchandising[227],
Katie Hebner,P.A.[228],
Kosha Irby,Chief Operating Officer,
Margaret Stalvey,Legal coordinator[229],
Mark Caplan,Head of Licensing and Merchandising[230],
Megha Parekh,Chief Legal Officer[231],
Will Washington,Wrestling Administration Coordinator[232]Co-host of AEW Unrestricted,
